Name,Position,SS Number,Year,Party Number,Class,Label
Eberhard Herf,Born 20 March 1887. SS-Brigadeführer and Generalmajor der Polizei. executed 30 January 1946 War crimes. Cousin of SS Obergruppenführer Maximilian von Herff,411970,9 November 1941,1322780,1.5,Brigadeführer
Franz Josef Huber,Served as chief of the State Police (SiPo) and Gestapo for Vienna  the Lower Danube and Upper Danube regions; also a Generalmajor der Polizei,107099,,4583151,1.5,Brigadeführer
Heinz Jost,born 9 July 1904. SD officer and original Chief of the Ausland-SD  Amt VI (Department VI) of the RSHA & Commander of Einsatzkommando A (29 March – 2 September 1942). Tried in Einsatzgruppen Trial of 1947–1948. In 1951  Jost was released from Landsberg prison. He then worked in Düsseldorf as a real estate agent. He died on 12 November 1964 at Bensheim.,36243,25 July 1934,75946,1.5,Brigadeführer
Bronislaw Kaminski,Commander of Kaminski Brigade,,,,1.5,Brigadeführer
Dr. Adolf Katz,SS-Brigadeführer and Generalmajor der Waffen-SS,3199,,149075,1.5,Brigadeführer
Hans Kehrl,Born 08.09.1900 Brandenburg  Amtschef (Rohstoff- und Planungsamt) im Reichsministerium für Rüstung und Kriegsproduktion. Died 26 April 1984 in Grafenau-Döffingen,276899,13 September 1936,1878921,1.5,Brigadeführer
Fritz Kranefuss,Head of Financial Department under Himmler,53092,,964992,1.5,Brigadeführer
Hugo Kraas,Born 25 January 1911 He served in the Leibstandarte SS Adolf Hitler and was the last commander of the SS Division Hitlerjugend. Kraas was investigated for the murder of several dozens of Italian Jews in Italy; he was tried in absentia in Italy in 1955 and was found guilty. The investigation also took place in West Germany in 1965 but stalled for lack of evidence. Died 20 February 1980,289633,15 October 1935,2204561,1.5,Brigadeführer
Christian Peder Kryssing,Highest ranking foreigner in the Waffen-SS. Commander of Frikorps Danmark and SS-Kampfgruppe Kueste.,,,,1.5,Brigadeführer
Franz Kutschera,SS General and Gauleiter of Carinthia. SS and Police Leader of the Poland's Warsaw district  and a Generalmajor der Polizei.,19659,1 November 1931,363031,1.5,Brigadeführer
Gustav Lombard,SS-Brigadeführer and Generalmajor der Waffen-SS,185023,May 1933,2649630,1.5,Brigadeführer
Kurt Meyer,Waffen-SS division commander of 12th SS Panzer Division Hitlerjugend.,17559,15 October 1931,316714,1.5,Brigadeführer
Wilhelm Mohnke,Waffen-SS divisional commander of the LSSAH and (Kommandant) Battle Commander for the defence of the central government district (Zitadelle sector) that included the Reich Chancellery and Führerbunker during the Battle of Berlin,15541,1 September 1931,649984,1.5,Brigadeführer
Erich Naumann,SS-Brigadeführer und Generalmajor der Polizei; commander of Einsatzgruppe B (November 1941 – March 1943),,,170257,1.5,Brigadeführer
Hans Nieland,Lord Mayor of Dresden,61702,,33333,1.5,Brigadeführer
Danilo Novaković,Protectorate of Serbia.,78,16 January 1926,57,1.5,Brigadeführer
Lukas Novaković,Father of Danilo Novaković  the protectorate of Serbia during the WW2.,77,16 January 1926,56,1.5,Brigadeführer
Karl Pflaumer,Interior Minister of the state of Baden,62511,1 June 1932,186057,1.5,Brigadeführer
Karl Pflomm,SS-Brigadeführer and Generalmajor der Polizei,2913,,304896,1.5,Brigadeführer
Hans Plesch,SS-Brigadeführer and Generalmajor der Polizei,4339,,347695,1.5,Brigadeführer
Anton Reinthaller,Brigadeführer and a member of Reichstag,292775,December 1938,,1.5,Brigadeführer
Ernst August Rode,Born 9 August 1894. Served in World War I and postwar in  Freikorps Leib-Kurassier-Regiment Großer Kurfürst until 25 July 1919 and then became a member of the Schutzpolizei.  In December 1939 he was appointed commander of a battalion of the Security Police (Sipo) in Bydgoszcz. He was also deployed in Białystok. He became First General Staff Officer (Ia) to the Commander of the Order Police (BdO) in Norway. At the end of August 1940 he was appointed deputy commander of the Moravian Police Regiment in Brno. From 6 February 1941 to 22 May 1941 he commanded the Police Battalion 315  leading the battalion from April to May 1941 in newly occupied Yugoslavia.From 16 May 1941 he was employed as a Fourth General Staff Officer (Id; responsible for training and organization) and deputy of the First General Staff Officer (Ia) at the Kommandostab Reichsführer SS in the Hauptamt zur Partisanenbekämpfung. In August 1943 he was temporarily given command of the Latvian SS Volunteer Brigade. In September 1943 he was appointed liaison officer to the command posts of the Wehrmacht on the staff of the Chief of the Gang Fighting Units (BKV)  which led the fight against the partisans. He was promoted to SS Brigadeführer and Major General of the Waffen-SS with effect from 21 June 1944. The promotion to Major General of the Schutzpolizei was also set for this date. He was appointed Chief of Staff of Bach-Zelewski as successor to SS-Standartenführer Heinz Lammerding in the summer of 1944  retaining his command as Chief of the Command Staff Reichsführer SS. Involved in suppression of Warsaw Uprisng 1944. Witness in Nuremberg Trials. Died 12 September 1955 Gottingen.,401 399,1 July 1941,1 937 929,1.5,Brigadeführer
Bruno Rothardt.,Born 21 August 1891 in Danzig  Prussia. SS-Brigadeführer und Generalmajor der Waffen-SS Dr.med. Died on 28 April 1980 Niefern-Öschelbronn.,276754,,430880,1.5,Brigadeführer
Joachim Rumohr,Brigadeführer und Generalmajor of the Waffen-SS,7450,1933,216161,1.5,Brigadeführer
Karl Schäfer,SS and Police Leader (SSPF) Weissruthenien; Dnjepropetrowsk-Krivoi-Rog. Killed in action  2 November 1943.,20865,October 1931,419439,1.5,Brigadeführer
Walter Schellenberg,SD officer and second Chief of the Ausland-SD  Amt VI (Department VI) of the RSHA,124817,10 January 1934,3504508,1.5,Brigadeführer
Gustav Adolf Scheel,Police Major General; Leader of the National Socialist Students' Federation  Superior SS and Police Leader in Salzburg  Gauleiter in Salzburg. Leader of the Berlin SD School; Inspector of the Security Police (SiPo) and the SD in Stuttgart; Leader of the Nazi Old Gentlemen's Federation; Chairman of the Reich Student Works; President of the German Study Works for Foreigners; Member of the Reich Labour Chamber and the Reichstag; commander of the SiPo and the SD under Chief of the civil administration in Alsace; Leader of the SD Upper Division South (Munich); Inspector of the SiPo and the SD under the higher SS and Police leaders South and Main; Higher SS and Police leader; Leader of the SS Upper Division Alpenland (Salzburg); Volkssturm Leader,107189,1 October 1931,391271,1.5,Brigadeführer
Walter Schieber,Born 13 September 1896. head of the Armaments Supply Office under Albert Speer. After 1947 employed by the US for ten years in chemical warfare research in West Germany. Died 29 June 1960,161947,June 1933,,1.5,Brigadeführer
August Schmidthuber,CO of the 7th SS Volunteer Mountain Division Prinz Eugen from 20 January 1944 to 8 May 1945  and the 21st Waffen Mountain Division of the SS Skanderbeg (1st Albanian) from May 1944 onwards.,266450,17 May 1935,,1.5,Brigadeführer
Karl Eberhard Schöngarth,b.22 April 1903. Commander of an Einsatzgruppen; perpetrated the Massacre of Lviv professors  among other atrocities; Wannsee Conference participant; executed 16 May 1946 after being found guilty of killing an Allied POW 21 November 1944,67174,1 Feb 1933,2848857,1.5,Brigadeführer
Walther Schröder,Born 26 November 1902. Polizeipräsident in Lübeck (1933–1945); SS and Police Leader (SSPF) Lettland; Estland; involved in killing of Jews in Reichskommissariat Ostland. Died 31 October 1973.,290797,20 April 1938,6288,1.5,Brigadeführer
Hinrich Schuldt,Awarded Knight's Cross with Oak Leaves and Swords,,,,1.5,Brigadeführer
Erwin Schulz,Born 27 November 1900  Berlin. Chief of Einsatzkommando 5 In May 1941. Sentenced to 20 years in Einsatzgruppen Trial; commuted to 15 years January 1951-released 9 January 1954. Died 11 November 1981.,,1935,,1.5,Brigadeführer
Hendrik Seyffardt,Founder of the SS Dutch Legion,,,,1.5,Brigadeführer
Franz Six,Chief of Amt VII (Department VII) of the RSHA; charged with creation of Chief of Einsatzgruppen for England Vorkommando of Moscow of Einsatzgruppe B,107480,1935,245679,1.5,Brigadeführer
Sylvester Stadler,Born 30 December 1910. Commander of the SS Division Das Reich  SS Division Hohenstaufen and a recipient of the Knight's Cross with Oak Leaves. Died 23 August 1995,139495,1933,4159018,1.5,Brigadeführer
Ludwig Steeg,Born 22 December 1894. Mayor of Berlin Germany 1940–1945. Died a POW 6 September 1945,127531,,1485884,1.5,Brigadeführer
Hyacinth Graf Strachwitz von Groß-Zauche und Camminetz,Heer panzer general,82857,,1405562,1.5,Brigadeführer
Bruno Streckenbach,Born 7 February 1902. Awarded 30 January 1939 Golden Party Badge; Chief of Amt I (Department I)  Administration and Personal of the RSHA; and Einsatzgruppen Commander  8th SS Cavalry Division Florian Geyer. Died 28 October 1977,14713,1 September 1931,489972,1.5,Brigadeführer
Otto Steinbrinck,Freundeskreis der Reichsführer SS,63084,30 May 1933,2638206,1.5,Brigadeführer
Willy Tensfeld,SS and Police Leader in Charkov; Shitomir; Oberitalien-West; also Generalmajor der Polizei,14724,1 September 1931,753405,1.5,Brigadeführer
Fritz Tittmann,SS and Police Leader in Nikolajew; died in unclear circumstances  April 1945,2925,20 April 1938,12225,1.5,Brigadeführer
Wilhelm Trabandt,Colonel of 1 SS Infantry BrigadeCommander of 18th SS Volunteer Panzer Grenadier Division Horst Wessel,218852,May 1936,7035171,1.5,Brigadeführer
Friedrich Uebelhoer,born 25 Sept 1893. Governor of the Lodz ghetto until December 1942. Disappeared 1945-fate unknown.,209059,,11707,1.5,Brigadeführer
Edmund Veesenmayer,Special Representative of the Reich in various South East countries. Involved in the Final Solution in Croatia  Serbia and Hungary,202122,June 1934,873780,1.5,Brigadeführer
Wilhelm Fritz von Roettig,Born 25 July 1888. Generalmajor der Ordnungspolizei. Killed in action Poland 10 September 1939.,,,,1.5,Brigadeführer
Jürgen Wagner,Commander of 23rd SS Volunteer Panzer Grenadier Division Nederland. 4th SS Polizei Division,23692,15 June 1931,707279,1.5,Brigadeführer
Friedrich Weber,Commander of the NSDAP Old Guard,265902,July 1934,15,1.5,Brigadeführer
Ernst Heinrich Freiherr von Weizsäcker,Born 25 May 1882. Secretary of State Foreign Office 1938–1943. Died 4 August 1951,293291,20 April 1938,4814617,1.5,Brigadeführer
Karl Maria Wiligut,Section VIII (Archives) RUSHAHimmler's Personal Staff,,September 1933,,1.5,Brigadeführer
Theodor Wisch,SS-Brigadeführer and Generalmajor der Waffen-SS,4759,,369050,1.5,Brigadeführer
Fritz Witt,First commander of the 12th SS Panzer Division Hitlerjugend. Awarded the Knight's Cross on 4 September 1940. He was killed by an allied naval barrage in 1944.,21518,1 December 1931,816769,1.5,Brigadeführer
Karl Emil Wrobel,Born 26 February 1882 Breslau. Held the rank of Generalarzt der Polizei. Surrendered at the Battle of Berlin 2 May 1945. Died 2 October 1949 Suja Schuga.,,,,1.5,Brigadeführer
Gustav Adolf von Wulffen,Born 18 April 1878. Awarded Pour le Merite 21 April 1918. Died of Wounds 4 May 1945.,72208,1931,495764,1.5,Brigadeführer
Karl Arthur Zenner,Born 11 June 1899. SS-Brigadeführer und Generalmajor der Polizei. Died 16 June 1969,176,August 1926,13539,1.5,Brigadeführer
Humbert Achamer-Pifrader,Born 21 November 1900 in Teplitz-Schönau  Married Maria Hauser in 1929  Joined NSDAP on 10 November 1931  SS-Oberführer and Oberst der Polizei  Einsatzgruppe A Commander (10 September 1942 – 4 September 1943)  head of the Gestapo in Darmstadt in 1940  Inspector of the SiPo and SD in Wiesbaden July 1942  Inspector of the SiPo and SD in Berlin September 1943. Died 25 April 1945 in Linz,275750,September 1935,614104,2.1,Oberführer
Josef Altstötter,Member of Reich Ministry of Justice; member of SA # 31; tried 1947 in Judges' Trial-released 1950-died 1979,289254,15 May 1937,5823836,2.1,Oberführer
Adolf Ax,Waffen-SS commander. Chief of Staff of the Commander of the Waffen-SS in The Netherlands 1942-1944,3848,1 December 1930,378043,2.1,Oberführer
Hans Christoph Baier,Born 4 November 1893 at Pohl Trial sentenced 10 years. Died 16 March 1969,279458,1 August 1937,2572143,2.1,Oberführer
Werner Blankenburg,born 19 June 1905 in Caputh. Involved in Nazism Euthanasia-program Action T4  the annihilation of the Polish Jews in the Aktion Reinhard  and the experiments with castration by X-Rays in KZ Auschwitz-Birkenau. Officially declared dead 31 December 1945 in 1956 ironically he actually died under alias Werner Bieleke 28 November 1957,,,124744,2.1,Oberführer
Friedrich-Wilhelm Bock,He was born 6 May 1897. His military service; 2 August 1914 to 1 February 1919 F.A.R 31.; Alleged to have been member of Freikorps. 10 July 1924....Leutnant {police}; 1 April 1928...Oberleutnant {police}; 1 January 1934...Hauptmann {police}; 1 April 1936...Major {police}; 1 November 1941...Sturmbannführer (Joined SS at this rank); 5 January 1942...Obersturmbannführer; Einsatzgruppe B  Sonderkommando 7c Commander (June 1942); 9 November 1943...Standartenführer; 1 August 1944...Oberführer. Commander of 9.SS-Panzer-Division Hohenstaufen  4.SS-Polizei-Panzergrenadier-Division  19.Waffen-Grenadier-Division der SS. Died 11 March 1978 Hanover  Germany.,405821,,2223186,2.1,Oberführer
Ernst Boepple,SS officer and assistant to Josef Bühler  born as Erwin Hermann Lambert,,,,2.1,Oberführer
Herbert Frederic Böttcher,Born 29.10.1903 Stettin. Participated in executions of Poles and Jews in the Warsaw Ghetto ruins. Sentenced to death by a Polish court after the war and executed on 12 June 1950,459,,,2.1,Oberführer
Karl-Heinz Bürger,SS and police leader in North Caucasus,156309,30 January 1933,68902,2.1,Oberführer
Alfred Buntru,Also a hydraulic engineer and informant for the Sicherheitsdienst (SD),,1937,,2.1,Oberführer
Otto Willy Gerhard Calliebe,b.1893 at Züllichow. Lt deR Flieger-Abteilung 301 1917–18. World War II: Vice Inspector of the NPEA Inspection state offices and SS Oberführer as vice-inspector post war Deutscher Gymnasiallehrer und Napola-Leiter. Died 20 March 1976,,1917,,2.1,Oberführer
Prince Christoph of Hesse,Born 14 May 1901. Also  reserve captain at RFSS staff. Luftwaffe major. Killed in airplane accident 7 October 1943,35903,February 1933,1498608or 696176,2.1,Oberführer
Karl Diebitsch,Artist and soldier responsible for much of the Third Reich SS regalia. Prof. Diebitsch worked with graphic designer Walter Heck to design the all-black SS uniform. Also with his business partner Industrialist Franz Nagy  Diebitsch began the production of art porcelain at the porcelain factory Porzellan Manufaktur Allach.,141990,1 May 1920November 1933.,1436 {membership lapsed}  4 690 956 reinstated.,2.1,Oberführer
Rudolf Diels,First commander of the Gestapo until April 1934; later Chief of the Regional Gouvernement (Regierungsprasident) of Köln,187116,April 1934,3955308,2.1,Oberführer
Eduard Deisenhofer,Waffen-SS combat commander,,,,2.1,Oberführer
Oskar Dirlewanger,born 26 Sept 1895; Leader of Dirlewanger Brigade; died 7 June 1945,357267,,1098716,2.1,Oberführer
Heinrich Fehlis,born 1 November 1906 in Wulften am Harz. Was a member of the Einsatzgruppen during Operation Weserübung; commanded the Sicherheitspolizei and Sicherheitsdienst in Norway; died 11 May 1945 in Porsgrunn,272255,1935,2862366,2.1,Oberführer
Arthur Frank Fuchs,Killed in an RAF air raid on Berlin during the night of 17 January 1943. On the recommendation of his Superior Paul Otto Geibel he was admitted into the SS posthumously during Feb. 43 with effect 21.12.1942,,21 December 1942,,2.1,Oberführer
Wilhelm Fuchs,born 1 September 1898 in Mannheim. SS-Oberführer und Oberst der Polizei  Leader of Einsatzgruppe Serbien from April 1941 to January 1942 and Befehlshaber der Sicherheitspolizei und des SD (BdS) {Serbia}  Kommandeur of Sicherheitspolizei and des SD in Litauen  Befehlshaber der Sicherheitspolizei und des SD (BdS) Ostland in Riga and from 15 September 1943 to 27 May 1944 Leader of Einsatzkommandos 3 {USSR}. Died 24 January 1947 Belgrade.,62760,1 December 1932,1038061,2.1,Oberführer
Paul Otto Geibel,Born 10.6.1896 Gerlach. Participated in executions of Poles and Jews in the Warsaw Ghetto ruins. Sentenced to life imprisonment by a Polish court after the war  committed suicide in the Mokotów prison in 1966,,,,2.1,Oberführer
Fridolin Glass,Born 1910. Commander of SS Regiment 89 before outbreak of World War II. Killed in action 1943,155767,April 1934,440452,2.1,Oberführer
Paul Heigl,Born 19 April 1887. Generaldirektor der Nationalbiobliothek in Wien 1938–1945. Died 8 April 1945 (suicide).,310001,,,2.1,Oberführer
Karl Höfer,Oldest member of SS – born 29 December 1862,276338,,,2.1,Oberführer
Richard Kaaserer,Born 21 August 1896 in Austria-Hungary. SS and Police leader in Sandžak and Central Norway. Executed by Yugoslavia in January 1947.,9774,15 July 1932,1087778,2.1,Oberführer
Hubert Klausner,Gauleiter of Carinthia,,,,2.1,Oberführer
Willi Krichbaum,Post World War II member of the Gehlen Organization,,,,2.1,Oberführer
Martin Kohlroser,Born 8 January 1905. With 34th SS Volunteer Grenadier Division Landstorm Nederland; commander in the Waffen SS during World War II who was awarded the German Cross in Gold. died 14 November 1967,3149,1 December 1930,371577,2.1,Oberführer
Erhard Kroeger,Former leader of the National Socialist Group in Estonia. Commander of Einsatzkommando 6/Einsatzgruppe C,357243,23 October 1938,7675747,2.1,Oberführer
Johannes Georg Hans Lörner,Born 6 March 1893. Member of WVHA and brother of Gruppenführer Georg Lörner. In 1947 sentenced to 10 years in prison-released 1951.,83683,1 April 1933,2541670,2.1,Oberführer
Hans Loritz,KZ commander Esterwegen concentration camp,4165,1 August 1930,298668,2.1,Oberführer
Emil Maurice,SS Member No. 2  credited with co-founding the SS,2,February 1925,39,2.1,Oberführer
Konrad Meyer-Hetling,Born 15 May 1901. Died 25 April 1973,74695,20 June 1933,908471,2.1,Oberführer
Hermann Muhs,Born 16 May 1894.  Secretary of State and Minister for Church Affairs (Minister für Kirchenfragen) in Nazi Germany. Died 13 April 1962,54420,1 June 1931 (Expelled 2 April 1941.),152594,2.1,Oberführer
Georg Wilhelm Müller,Born 39 December 1909. Assistant to Goebbels in the Propaganda Ministry Aka Müller-Oslo [Assigned to Norway]; died 30 April 1989,3554,1930,74380,2.1,Oberführer
Thomas Müller,Waffen-SS combat commander,,,,2.1,Oberführer
Erich Neumann,Born 31 May 1892. Participant Wannsee Conference. Arrested after World War II but released because of poor health. Died 23 March 1951,222014,August 1934,2645024,2.1,Oberführer
Friedrich Panzinger,Born 1 February 1903. Served as the head of Reichssicherheitshauptamt (RSHA) Amt IV A  from September 1943 to May 1944 and the commanding officer of Einsatzgruppe A in the Baltic States and Belarus. From 15 August 1944 forward  he was chief of RSHA Amt V  the Criminal Police (Kriminalpolizei  Kripo)  also known as the Reichskriminalpolizeiamt (RKPA). Responsible for the murder of prisoner of war French general Gustave Marie Maurice Mesny on 19 January 1945 near the village of Nossen. Arrested in 1946. Twice sentenced to 25 years of forced labor in Moscow 22 March 1952. Released as a so-called Nichtamnestierter (non-amnestied) in September 1955 and repatriated to Germany. Member of the German Federal Intelligence Service (Bundesnachrichtendienst  BND) under Reinhard Gehlen. Committed suicide after being arrested for war crimes 8 August 1959,322118,April 1937,1017341,2.1,Oberführer
Ferdinand Porsche,He made contributions to advanced German tank designs: Tiger I  Tiger II  and the Elefant  as well as the super-heavy Panzer VIII Maus tank  which was never put into production. He also made contributions in aircraft design  including the Junkers Ju 88  and the Focke-Wulf Ta 152. Additionally  he helped develop and manufacture retaliatory weapons (Vergeltungswaffen)  such as the V-1 flying bombs (Fi 103 flying bombs).,None,,5643287,2.1,Oberführer
Heinz Roch,Born 17 January 1905. SS and Police Leader in Crimea  Bialystok District and Northern Norway. Committed suicide in Trondheim 5 May 1945.,2883,19 June 1926,34475,2.1,Oberführer
Emanuel Schafer,Member of Einsatzkommando  SD  and Himmler's personal staff,280018,,4659879,2.1,Oberführer
Julian Scherner,SS and Police Leader of Kraków,,,,2.1,Oberführer
Gerhard Markus Schneider,SS lead agent,,,,2.1,Oberführer
Julius Schreck,First Reichsführer-SS,5,February 1925,53,2.1,Oberführer
Emil Sembach,SS headquarters in Silesia killed during the Long knives night in 1934.,6640,1 April 1932,3575,2.1,Oberführer
Otto Soman,Born 24 October 1899. A member of the SD holding positions such as 1943 inspector of the security police and the SD (IdS) in Wiesbaden and in 1944 he was appointed inspector of the Customs Border Protection for the entire Reich territory and the occupied lands to the deputy chief of Office IV(Gestapo)and inspector general Wilhelm Krichbaum. Postwar served a Jail sentence for War Crimes.  In 1951 recruited as a Agent of the Gehlen organization; he is also suspected of having been a member of the Ministry of State Security [Russian Secret Service]. Died.7 December 1956,25638,1 November 1931,58502,2.1,Oberführer
Otto Steinhäusl,Police President of Vienna and Leader of Interpol.,292773,1938,,2.1,Oberführer
Benno von Arent,Born 19 July 1898 in Görlitz  Prussia. His uncle was Benno von Arent (Generalleutnant). Member of the Freikorps. Joined the Nazi Party in 1932 he was one of the founders of the Bund nationalsozialistischer Bühnen- und Filmkünstler (Union of national-socialist stage and movie artists)  which was renamed Kameradschaft deutscher Künstler (fellowship of German artists) after Hitler's rise to power in 1933. Arent was appointed Reichsbühnenbildner (Reich stage designer) in 1936 and Reichsbeauftragter für die Mode (Reich agent for fashion) in 1939. He designed the diplomatic uniform of the Nazi diplomatic service. In 1944  he was given the rank of SS-Oberführer. Died 14 October 1956,,1931,,2.1,Oberführer
Ferdinand von Sammern-Frankenegg,Born 17.3.1897 Grieskirchen. Stub: 9 November 1937; Staff: 17.3.38; Führer 37 SS – Standarte (Linz): 12.3 – 31.12.1938; Reichstag deputy 1938–1944; b. Stab SS – Oberabschnitt Nordost: 1.1 – 7.2.1939; m.d.F. SS – Abschnitt IX: 1.3 – 1.7.1939; Stabsführer SS – Oberabschnitt Main: 1.7 – 1.9.1939; Führer SS – Abschnitt IX (Würzburg): 1.9.1939 – 15.5.1942; Oberf: 30.1.41; SSPF Warschau: 15.5.1942 – 19.4.1943; b.m. SS – Abschnitt IX: 1.6 – 1.7.1943; Führer at RFSS staff: 1.7.1943; Polizeigebietsführer Esseg: 15.7.1943 – 20.9.1944; Brif u. Gen.Mjr d. Pol: 20.4.1944; killed 20.9.1944 b. Banja Luka.,292792,,1459955,2.1,Oberführer
Paul Gebhard Gustav Werner,Born 4.11.1900. Served in World War I 1918. Also served in SS Security service; also a deputy to Arthur Nebe and Friedrich Panzinger. Involved in the Shoah; SS Oberführer and Oberst Der Polizei. Died 15. Feb 1970 Leinfelden,290389,5 November 1937,3025030,2.1,Oberführer
Gustav Adolf Wiemann,Waffen-SS Officer and son-in-law of SS-Oberstgruppenführer Paul Hausser,,1938,,2.1,Oberführer
Arpad Wigand,SS and Police leader (SS-und Polizeiführer (SSPF)) in Warsaw from 4 August 1941 until 23 April 1943. Aide to Erich von dem Bach Zelewski. In 1981  Wigand was found guilty in Hamburg for war crimes and was sentenced to 12.5 years.,2999,,30682,2.1,Oberführer
Humbert Achamer-Pifrader,Born 21 November 1900 Bohemia. Served in Austrian Army in World War I. In 1935 chief of Gestapo in Darmstadt. By July 1942  he was Chief of Security Police and SD in Wiesbaden. In September 1942 he became commander of Einsatzgruppen A  which was responsible for the mass murder of civilians (mostly Jewish). In addition  he was commander of the Security Police (SiPo) in Riga. On 31 August 1943  awarded with the Iron Cross 2nd Class award. In 1944 he returned to the Reich Security Main Office in Berlin and took over as Chief of Security Police in the field units of the Unit IV B. Killed in air raid 21 April 1945,275.750,September 1935,614.104,2.2,Standartenführer
Gunter d'Alquen,Born 24 October 1910. Chief of Propaganda OKW; Editor of Das Schwarze Korps;Commander of the SS-Standarte Kurt Eggers. Died 15 May 1988.,8452,1931,66.689,2.2,Standartenführer
Ludolf Jakob von Alvensleben,Born 9 August 1899. A senior staff member of the Operation Reinhard group assigned by Reichsführer-SS Heinrich Himmler to systematically murder the Jews of Europe. He ended the war as SS and Police Leader (SSPF) of Adria-West  Northern Italy. He escaped investigation after the war and is reported to have died when his car overturned on a road outside Dortmund. Died 23 August 1953,52.195,,1.313.391,2.2,Standartenführer
Emil Augsburg,In 1939–40 and again in the summer and fall of 1941 he joined the Security Police to carry out what were called special duties (spezielle Aufgaben)  a euphemism for executions of Jews and others the Nazis considered undesirable. Augsburg was used by CIC from 1947 to 1948 as an expert on Soviet affairs.[8] Reported died 1981,307 925,11 September 1938,5 518 743,2.2,Standartenführer
Rudolf Batz,Born 10 November 1903. Einsatzkommando2; KDS Cracow; Gestapo Chief Hanover Germany. Died 8 February 1961,272458,10 December 1935,,2.2,Standartenführer
Paul Blobel,Born 13 August 1894. Einsatzgruppe C  Einsatzkommando 4a Commander (June 1941 – 13 January 1942). Executed 7 June 1951,29100,January 1932,844662,2.2,Standartenführer
Ferdinand Brandner,Born 17 November 1903. An Austrian aerospace designer and was responsible for the most powerful turboprop engine ever built  the Kuznetsov NK-12  while interned in the Soviet Union under Operation Osoaviakhim following World War II. Died 20 December 1986,,,,2.2,Standartenführer
Hans Collani,Born 13 February 1908 in Stettin  died 29 July 1944 at Narva (suicide) Waffen-SS Officer,,,,2.2,Standartenführer
Professor Max de Crinis,Born 29 May 1889. Psychiatric director of the clinic La charité of Berlin. Also worked with RuSHA/Action T-4. Suicide 2 May 1945,276 171,1936,688 247,2.2,Standartenführer
Eugen Dollmann,Served as Himmler's personal representative to the Italian government and the Vatican.[8] Died 1985,289259,,3 402 541,2.2,Standartenführer
Erich Ehrlinger,Born 14 October 1910. Einsatzkommando commander. After the end of the war  Ehrlinger went into hiding in Schleswig-Holstein under the alias of Erich Fröscher. In 1950  he moved with his family to Konstanz and worked under a false name as a host in the local casino. In 1952  he married for the second time and started using his real name  and by 1954 worked as a foreman in Volkswagen in Karlsruhe. In December 1958  he was arrested. Two years later Ehrlinger was sentenced by the State Court of Karlsruhe (Landsgericht Karlsruhe) to twelve years imprisonment. The case was appealed and his sentence was officially remitted in 1969  four years after he was released from prison.[citation needed] Died 31 July 2004,107493,May 1935,541195,2.2,Standartenführer
Franz Viktor Eirenschmalz,Born 20 October 1901. At Pohl Trial sentenced to hang-commuted to 9 years,10.051,June 1931,644.902,2.2,Standartenführer
Waldemar Fegelein,born 9 January 1912. Commander of 2nd SS Cavalry Regiment; 8th SS Cavalry Division Florian Geyer;37th SS Volunteer Cavalry Division Lützow. Brother of Hermann Fegelein. Died 20 November 2000,229780,,2942829,2.2,Standartenführer
Hermann Florstedt,born 18 February 1895. Commandant of Majdanek Concentration Camp. Executed 15 April 1945,8660,1931,488 573,2.2,Standartenführer
Karl Gesele,born 15 August 1912. With 16th SS Panzergrenadier Division Reichsführer-SS and 37th SS Volunteer Cavalry Division Lützow. Died 8 April 1968,10 596,August 1931,,2.2,Standartenführer
Hans Friedemann Götze,Born 3 November 1897. Son of SS Brigadeführer Friedemann Götze. Commander of SS Heimwehr Danzig KIA 3 May 1940,,,,2.2,Standartenführer
Herbert Richard Golz,SS commander of security in occupied Montenegro,357154,,,2.2,Standartenführer
Jakob Grimminger,Born 25 April 1892. Member of SS-Standarte 1 and bearer of the Blutfahne. Died 28 January 1969,135,25 February 1926,759,2.2,Standartenführer
Kurt Gruber,Born 21 October 1904 in Syrau  Vogtland – died 24 December 1943 in Dresden. He was a Nazi politician and from 1926 to 1931 the first chairman of the Hitler Youth (Hitler-Jugend or HJ).,,,7270,2.2,Standartenführer
Max Hansen,Born 31 July 1908. Commander of the 1st SS Panzer Grenadier Regiment in the Leibstandarte SS Adolf Hitler. Died 7 March 1990,27813,1931,478376,2.2,Standartenführer
Heinrich Heim,Born 15 June 1900; one of three compilers of Hitler's Table Talk Died 26 June 1988,,,1782,2.2,Standartenführer
Gebhard Ludwig Himmler,born 29 July 1898. Brother of Heinrich Himmler. Died 1982,214.049,30 January 1944,1.117.822,2.2,Standartenführer
Peter Högl,Reichssicherheitsdienst deputy commander,249998,,3289992,2.2,Standartenführer
Franz Joseph  Prince of Hohenzollern-Emden,Born 1891. Expelled from SS November 1944. Died 1964.,276 691,1933,3765580,2.2,Standartenführer
Walter Huppenkothen,Born 31 December 1907. Died 5 April 1978,126785,1 May 1933,1950150,2.2,Standartenführer
Erich Georg Heinrich Isselhorst,Born 5 February 1906. An Einsatzkommando leader; Held posts within the Gestapo and SS in Cologne  Munich  Stuttgart and Strasbourg. Executed 23 February 1948,267 313,October 1934,1 269 847,2.2,Standartenführer
Karl Jäger,Born 20 September 1888. Commander of Einsatzkommando 3/Einsatzgruppe A. Author of the infamous Jäger Report. Died 22 June 1959,62823,1932,359269,2.2,Standartenführer
